rank,attraction,state,ideal_duration,best_time,description,url_match
1, New York City,New York,  3-5 days,"  Anytime 
             
 ","An iconic global centre that has inspired the world with its brilliant architecture, movies, and art. Also known as the Big Apple, New York is well-known for its magnificent skyscrapers, Broadway shows and beautiful landmarks, making it the perfect destination for travellers from all over.

 From the flashy neon lights, the beautiful chaos of Times Square, the skyscrapers of Wall Street and the verdant ways of Central Park, New York City never ceases to amaze with its energy and vibrancy. World-class exhibition halls like MoMA and exceptional world heritage sites like the Statue of Liberty are simply captivating and should be the topmost priority when you visit. Broadway shows, ethnic enclaves and shops, memorable lanes of stately brownstones, in vogue bars and diners all add to the urban buzz. This modern city is home to millions of immigrants and is cosmopolitan in a way no other city can be. Rightly nicknamed 'The city that never sleeps', it is known for its extravagant nightlife - full of music, fashion and life. Words can little describe the unique aura the city radiates and you have to be there to experience it. So head to this great city and be ready to fall in love.
",https://www.holidify.com/images/bgImages/NEW-YORK-CITY.jpg
2, Las Vegas,Nevada,  3 days,"  September to November (Autumn) 
             
 ","Las Vegas - a place that brings neon signboards, iconic hotels and the legendary casinos to our minds. For the ultimate, no-limits entertainment trip, there is hardly any place in the world that comes close to Vegas. The city's bright skyline, the super luxury hotels and resorts, the world-famous casino and the even-more-world-famous nightclubs coupled with the supremely extravagant atmosphere of the Las Vegas Strip make a visit to Las Vegas unlike no other.

 Some of the world's greatest hotels - the Bellagio, the Venetian, the MGM Grand, the Wynn Las Vegas - are all located on a single stretch of road called the Strip - the Las Vegas you see in movies and TV shows. The other super famous area of Vegas is Downtown, which quite like the Strip is beautifully lit up the entire time, except for the light and sound show in the Fremont Street Experience on a curved LED roof stretching over the entire promenade! From Titanic Artifact Exhibition, Mob museum to the stunning views of Keystone Thrust and Red Rock Canyon National Conservation Area, Las Vegas has everything from historical places to modern businesses. 
",https://www.holidify.com/images/bgImages/LAS-VEGAS.jpg
3, Los Angeles,California,  3-5 days,"  September to November (Autumn) 
             
 ","Los Angeles is the hub of all activities on the famous West Coast of the United States. It is the second-largest city in the country, and one of the US's prime tourist cities. Home to the world-famous Hollywood entertainment industry, Los Angeles has become a huge tourist destination. It is a great center of sports, performance arts, cultures, adventure and this vibrant atmosphere can be witnessed as you visit this wonderful metropolis.

 The city has such a wide array of places of interests, the most diverse tourists and travellers will find things to do for the entire week. Shoppers can go crazy in any of the numerous shopping malls and centres in the city, and foodies will have a ball of a time at the variety of cuisines and especially the historic Farmers Market. For athletes and sports enthusiasts, arenas of some of the biggest sports franchises like the LA Lakers' and LA Clippers' Staples Center and the Dodgers' Dodger Stadium are top places to visit, and don't forget to work up a pump at the muscle beach in Venice! LA is also home to museums displaying some of the most stunning collections of natural history, like skeletons of dinosaurs and Ice Age animals among several other things. And then, of course, the luxury and sports cars plying around the streets of LA, and the Peterson Museum and the Nethercutt Collection make Los Angeles a city of supreme entertainment for the car enthusiast as well. For those who simply come to LA for a vacation to remember, the southern California beaches are amazing to get a tan on during the day, and the nightlife of the city is one of the best in the entire world! 
",https://www.holidify.com/images/bgImages/LOS-ANGELES.jpg
4, San Francisco,California,  3-5 days,"  September to November (Autumn) 
             
 ","San Francisco is one of the most important cities on the West Coast and all of the United States. It has been a major tourist destination since the 1960s, thanks to its wide array of attractions, the iconic Golden Gate Bridge fantastic views of the San Francisco Bay and brilliant summer weather.

 A trip to San Francisco is an absolute delight. The vibrant and energetic city holds a plethora of activities and attractions which will keep you busy throughout your time there. It's a favourite destination especially during the summers, due to its warm and pleasant temperatures. The city has a great amalgamation of cultures and is not short on entertainment options either. San Francisco's most iconic landmark is perhaps the Golden Gate Bridge, covering the width of the San Francisco Bay and offering some breathtaking vistas. Cruises on the Bay are also a famous activity you shouldn't miss out on. The Fisherman's Wharf and the Alcatraz Island combined with the bridge make for three of the most famous tourist attractions in the city. Even the city's cable car system is used more by tourists than daily commuters! The city has a diverse collection of museums, ranging from art museums to the fascinating and futuristic Walt Disney Museum and the Exploratorium. San Francisco also has several popular outdoor places, such as the huge Golden Gate Park, which contains several interesting places in itself. San Fran, as it is fondly called, is also a paradise for shoppers, with several streets of international and local boutiques and the largest Chinatown outside Asia. And as the sun sets, the city wakes up once again to head out for the night to its brilliant offerings of nightclubs and bars.
",https://www.holidify.com/images/bgImages/SAN-FRANCISCO.jpg
5, San Diego,California,  3 days,"  March to May, September to November 
             
 ","Home to serene white-sand beaches, San Diego is popularly called 'America's Finest City'. San Diego is the second-largest city in California, while it ranks no. 8 in the list of the largest cities in the United States. With incredible weather conditions throughout the year and over 60 beaches, the sunny and warm San Diego is perfect to travel to throughout the year..

 In addition to its relaxed beach vibes, San Diego also offers entertainment, informative tours and historical sightseeing for tourists and locals. There are several museums, theme parks, historic parks and monuments which make this city a perfect destination for a pleasant holiday. The most popular attractions in the city include Balboa Park, San Diego Zoo, Sea World, Gaslamp Quarter and the Cabrillo National Monument.
",https://www.holidify.com/images/bgImages/SAN-DIEGO.jpg
6, Miami,Florida,  2-3 days,"  March - May 
             
 ","Miami is a seaport city famous for its beaches and nightlife. This vibrant town is also referred to as the 'Cruise Capital of the World' with cruise ships from all over docking at Port Miami. Many large companies and corporate houses have its headquarters in Miami making it one of the top financial, entertainment, arts and media hub in the States.

 Other tourist destinations offer something for everyone while Miami offers multiple options for everyone: From the trendy nightlife of the South Beach to the bustle of Calle Ocho and the highly energetic Little Havana. The plush hotels of Miami Beach, the hideaways of Coral Gables, seemingly endless shopping opportunities, the lures of deep-sea fishing and golf and tennis. From the boat shows and auto racing to the amazing Art festivals and wine extravaganzas. The thriving city of Miami offers all of these options, few among the never-ending list.
",https://www.holidify.com/images/bgImages/MIAMI.jpg
7, Washington,United States,  3 days,"  September to November, March to May 
             
 ","The Capital of United States, Washington, DC is a legatee of neoclassic beauty. A city which is not only famous for its museums and monuments, but also for the cultural style it embosses with its nightlife, performing art venues and trendy shops.

 Washington, DC is the lifeline of the U.S. Federal government. Name it, and you'll find it here, be it history, culture and art. There are over a hundred museums and monuments to keep you engaged and on your feet, other than the most popular White House and the Capitol building. Washington has got a buoyant nightlife, appetizing dining experiences, animated neighborhoods and the most interesting art galleries; other than the landmark sites depicting vintage assets and narrating the tales of bygone times.
",https://www.holidify.com/images/bgImages/WASHINGTON-DC.jpg
8, Yellowstone National Park,Wyoming,  3 days,"  September to November 
             
 ","Located across 3 states, the Yellowstone National Park is one of the most popular National Parks in North America and also the world. The UNESCO World Heritage Site is known mostly for it's several thousand geothermal features, stunning views and the vast array of flora and fauna which are found here.

 The Yellowstone Park is a feature on nearly 3 million itineraries every single year. It has become a top holiday destination in the US and during the on-season is quite crowded! The geyser basin in the park will get you acquainted to erupting geysers and captivating hot springs. The unusual growth of bacteria in the mineral-rich surfaces around these features makes for some brilliant and colourful sights, like the breathtaking Grand Prismatic Spring. And then you have the huge collection of geysers, such as the famous Old Faithful, erupting regularly at short intervals, and the Steamboat geyser, the largest geyser in the world! The Grand Canyon in the park is also one of the most amazing sights. Complete with it's Upper and Lower waterfalls, there are several points along the canyon where you will find yourself just admiring the magnificent views! And of course, then there is the pristine Yellowstone Lake, the origin point of the Yellowstone river and another supremely beautiful location, justified only by a boat tour to absorb the serene atmosphere. A few days here at the Yellowstone National Park will definitely give you your much-needed break. 
",https://www.holidify.com/images/bgImages/YELLOWSTONE-NATIONAL-PARK.jpg
9, Seattle,Washington,  3 days,"  September-November 
             
 ","Seattle is the largest city in both the state of Washington and the Pacific Northwest region of North America. The city has thousands of acres worth of green spaces and parks, making the city a perfect mix of a concrete jungle and beautiful greenery. Seattle is the third-largest port in North America. Apart from the Space Needle, Seattle is also known to be the birthplace of Amazon and also has the very first Starbucks which was built in 1971.

 Seattle, Washington, has a left-coast vibe with a high tech spin. The top attractions on your Seattle to-do list must be the stunning Central Public Library for some iconic architecture, Pike Place Market for a pleasant Sunday out shopping and dining, the Space Needle for the best views of the city and more. Well known for its rain, Seattle, Washington is a city sandwiched between the salt water of Puget Sound and the fresh water of Lake Washington. To the north is the Canadian province of British Columbia. To the west are the Olympic Mountains, to the east the Cascade Range including just off to the southeast is Mount Rainier, the highest peak in the Cascades, and easily visible on a clear day from Seattle. All this fantastic geography makes Seattle the perfect postcard town to visit. 
",https://www.holidify.com/images/bgImages/SEATTLE.jpg
10, Puerto Rico,United States,  3 days,"  April to June 
             
 ","Puerto Rico is undoubtedly one of the most enchanting places with the beautiful Caribbean beaches, the amazing island landscapes, the underwater experiences, and the rich Caribbean culture. Though Puerto Rico is technically a territory of the United States, the atmosphere of the Caribbean is abundant all over the island. The lively environment in the capital city of San Juan coupled with the ultimate soothing experiences in the islands nearby makes it the perfect combination of all things good. 

 There are some things in Puerto Rico that will just be too good to be true. The Bioluminescent Bay and the Flamenco Beach on Culebra Island is perhaps the best beach you'll ever visit. The El Yunque rainforest's extensive lands and greenery provide you with literally unlimited activities. Indulge in the delightful local food and shop for some memorable souvenirs.  From thrilling treks and ziplining to chilling in the cold water of the rivers. Head out in the evenings for walks in Old San Juan to witness the vibrant culture. Check out the forts of the ""Walled City"" in Old San Juan, a brilliant insight into the colonial history. And of course, who can ever undermine the Caribbean party culture. With beaches and hotels both, Puerto Rico will not leave you disappointed, and do get a bit of that rum! 
",https://www.holidify.com/images/bgImages/PUERTO-RICO.jpg
